beta,bin_left,bin_right,count,fraction
0.01,0.9900034548211061,0.9905020300564575,4999,0.29671177587844255
0.01,0.9905020300564575,0.991000605291809,549,0.03258547008547009
0.01,0.991000605291809,0.9914991805271605,470,0.027896486229819564
0.01,0.9914991805271605,0.9919977557625119,676,0.040123456790123455
0.01,0.9919977557625119,0.9924963309978634,546,0.032407407407407406
0.01,0.9924963309978634,0.9929949062332148,158,0.009377967711301045
0.01,0.9929949062332148,0.9934934814685663,262,0.015550807217473884
0.01,0.9934934814685663,0.9939920567039178,318,0.018874643874643875
0.01,0.9939920567039178,0.9944906319392692,318,0.018874643874643875
0.01,0.9944906319392692,0.9949892071746207,7,0.0004154795821462488
0.01,0.9949892071746207,0.9954877824099723,1,5.935422602089269e-05
0.01,0.9954877824099723,0.9959863576453237,10,0.0005935422602089269
0.01,0.9959863576453237,0.9964849328806752,4,0.00023741690408357076
0.01,0.9964849328806752,0.9969835081160267,17,0.0010090218423551758
0.01,0.9969835081160267,0.9974820833513781,29,0.001721272554605888
0.01,0.9974820833513781,0.9979806585867296,31,0.0018399810066476734
0.01,0.9979806585867296,0.998479233822081,29,0.001721272554605888
0.01,0.998479233822081,0.9989778090574325,0,0.0
0.01,0.9989778090574325,0.999476384292784,0,0.0
0.01,0.999476384292784,0.9999749595281354,0,0.0
0.01,0.9999749595281354,1.000473534763487,0,0.0
0.01,1.000473534763487,1.0009721099988385,0,0.0
0.01,1.0009721099988385,1.00147068523419,0,0.0
0.01,1.00147068523419,1.0019692604695414,30,0.0017806267806267807
0.01,1.0019692604695414,1.0024678357048928,33,0.001958689458689459
0.01,1.0024678357048928,1.0029664109402443,21,0.0012464387464387464
0.01,1.0029664109402443,1.0034649861755958,14,0.0008309591642924976
0.01,1.0034649861755958,1.0039635614109472,17,0.0010090218423551758
0.01,1.0039635614109472,1.0044621366462987,4,0.00023741690408357076
0.01,1.0044621366462987,1.0049607118816501,9,0.0005341880341880342
0.01,1.0049607118816501,1.0054592871170016,4,0.00023741690408357076
0.01,1.0054592871170016,1.005957862352353,156,0.009259259259259259
0.01,1.005957862352353,1.0064564375877045,429,0.02546296296296296
0.01,1.0064564375877045,1.006955012823056,223,0.01323599240265907
0.01,1.006955012823056,1.0074535880584075,251,0.014897910731244064
0.01,1.0074535880584075,1.007952163293759,447,0.026531339031339033
0.01,1.007952163293759,1.0084507385291104,668,0.039648622981956316
0.01,1.0084507385291104,1.0089493137644618,471,0.027955840455840455
0.01,1.0089493137644618,1.0094478889998133,431,0.02558167141500475
0.01,1.0094478889998133,1.0099464642351648,5216,0.30959164292497626
0.02,0.9800069096422122,0.9810040601129151,4999,0.29671177587844255
0.02,0.9810040601129151,0.982001210583618,549,0.03258547008547009
0.02,0.982001210583618,0.9829983610543209,470,0.027896486229819564
0.02,0.9829983610543209,0.9839955115250238,676,0.040123456790123455
0.02,0.9839955115250238,0.9849926619957268,546,0.032407407407407406
0.02,0.9849926619957268,0.9859898124664297,158,0.009377967711301045
0.02,0.9859898124664297,0.9869869629371326,262,0.015550807217473884
0.02,0.9869869629371326,0.9879841134078355,318,0.018874643874643875
0.02,0.9879841134078355,0.9889812638785385,318,0.018874643874643875
0.02,0.9889812638785385,0.9899784143492414,7,0.0004154795821462488
0.02,0.9899784143492414,0.9909755648199444,1,5.935422602089269e-05
0.02,0.9909755648199444,0.9919727152906473,10,0.0005935422602089269
0.02,0.9919727152906473,0.9929698657613503,4,0.00023741690408357076
0.02,0.9929698657613503,0.9939670162320532,17,0.0010090218423551758
0.02,0.9939670162320532,0.9949641667027561,29,0.001721272554605888
0.02,0.9949641667027561,0.995961317173459,31,0.0018399810066476734
