bin_left,bin_right,count,fraction
-1.0,-0.95,5125,0.304190408357075
-0.95,-0.9,470,0.027896486229819564
-0.9,-0.85,484,0.02872744539411206
-0.85,-0.8,668,0.039648622981956316
-0.8,-0.75,473,0.028074548907882243
-0.75,-0.7,251,0.014897910731244064
-0.7,-0.6499999999999999,184,0.010921177587844255
-0.6499999999999999,-0.6,455,0.02700617283950617
-0.6,-0.55,182,0.010802469135802469
-0.55,-0.5,4,0.00023741690408357076
-0.5,-0.44999999999999996,9,0.0005341880341880342
-0.44999999999999996,-0.3999999999999999,4,0.00023741690408357076
-0.3999999999999999,-0.35,16,0.000949667616334283
-0.35,-0.29999999999999993,15,0.0008903133903133903
-0.29999999999999993,-0.25,17,0.0010090218423551758
-0.25,-0.19999999999999996,33,0.001958689458689459
-0.19999999999999996,-0.1499999999999999,34,0.0020180436847103515
-0.1499999999999999,-0.09999999999999998,0,0.0
-0.09999999999999998,-0.04999999999999993,0,0.0
-0.04999999999999993,0.0,0,0.0
0.0,0.050000000000000044,0,0.0
0.050000000000000044,0.10000000000000009,0,0.0
0.10000000000000009,0.15000000000000013,0,0.0
0.15000000000000013,0.20000000000000018,27,0.0016025641025641025
0.20000000000000018,0.25,33,0.001958689458689459
0.25,0.30000000000000004,27,0.0016025641025641025
0.30000000000000004,0.3500000000000001,18,0.0010683760683760685
0.3500000000000001,0.40000000000000013,5,0.0002967711301044634
0.40000000000000013,0.4500000000000002,10,0.0005935422602089269
0.4500000000000002,0.5,1,5.935422602089269e-05
0.5,0.55,6,0.00035612535612535614
0.55,0.6000000000000001,319,0.01893399810066477
0.6000000000000001,0.6500000000000001,318,0.018874643874643875
0.6500000000000001,0.7000000000000002,262,0.015550807217473884
0.7000000000000002,0.75,158,0.009377967711301045
0.75,0.8,533,0.031635802469135804
0.8,0.8500000000000001,689,0.04089506172839506
0.8500000000000001,0.9000000000000001,470,0.027896486229819564
0.9000000000000001,0.9500000000000002,549,0.03258547008547009
0.9500000000000002,1.0,4999,0.29671177587844255
