timestep_ns,distance_w0_m,euclidean_from_positions_m,abs_error_m,rel_error
0,3540719.6058560917,3524008.7602168648,16710.845639226958,0.0047196184672710145
0,2258344.601347294,2250880.9840605194,7463.6172867747955,0.00330490629389426
0,3541201.711082138,3538843.977718953,2357.733363185078,0.0006658003569258951
0,2053337.522192353,2051172.560407396,2164.9617849569768,0.0010543623547313557
0,3541029.7608748423,3555118.5583344004,14088.797459558118,0.003978728904011628
0,1699580.4397984429,1704718.5169574064,5138.077158963541,0.0030231444412086063
0,3540943.2339080176,3559261.8846295727,18318.65072155511,0.0051733816419692906
0,1505575.4371347625,1513966.7096620277,8391.27252726513,0.00557346534773072
0,3541146.8411063394,3547765.907951586,6619.066845246591,0.0018691873402173391
0,1699580.2540640917,1704719.992296903,5139.738232811214,0.0030241221151639675
0,3541088.495087801,3530312.298034343,10776.197053458076,0.003043187728408036
0,2053338.8834877117,2051172.2501461343,2166.6333415773697,0.001055175723306433
0,3540051.349603315,3521238.678158626,18812.671444688924,0.005314236881563033
0,2258346.0987532656,2250882.3372881846,7463.761465081014,0.003304967944993653
0,3537886.4028401924,3527245.8599450467,10640.542895145714,0.0030075987987074866
0,2184974.438777896,2179519.0096108583,5455.42916703783,0.0024967931295750857
0,3535489.9643361624,3542177.2497196277,6687.285383465234,0.001891473445243074
0,1876101.9822196583,1877833.1838422716,1731.20162261324,0.0009227652009434032
0,3534124.753525466,3552385.744203621,18260.990678154863,0.005167047558221767
0,1555356.6858320031,1562861.9776661454,7505.291834142292,0.004825447373267634
0,3534602.739647997,3548687.5070158276,14084.7673678305,0.003984823304141152
0,1555356.06413411,1562862.6191909718,7506.555056861835,0.0048262614779727925
0,3536640.8599690814,3534407.9247913836,2232.9351776978,0.0006313717638033853
0,1876098.3610605865,1877830.3901715355,1732.0291109490208,0.0009232080507601311
0,3539063.755595402,3522443.249041425,16620.506553976797,0.004696300406484373
0,2184971.361979045,2179516.468190492,5454.893788552843,0.0024965516177804983
0,3541090.7079697032,3530314.4332527975,10776.274716905784,0.0030432077587428984
0,2643095.3423253163,2636833.546377781,6261.795947535429,0.002369114669176666
0,3541148.4591040825,3547765.264562915,6616.805458832532,0.0018685478836169994
0,2470088.9040542333,2469693.6789005296,395.2251537037082,0.0001600044245593804
0,3540943.255194833,3559262.7610461074,18319.505851274356,0.0051736231085878735
0,2184643.7704801555,2192420.124336195,7776.353856039699,0.0035595523449255804
0,3541029.4621925806,3555119.1822980824,14089.720105501823,0.003978989798288085
0,2037246.5090623084,2048601.9402962148,11355.43123390642,0.005573911249028489
0,3541201.7647295245,3538842.6050896244,2359.1596399000846,0.000666203113134469
0,2184646.087715389,2192421.8514682143,7775.7637528250925,0.003559278455466743
0,3540717.379025793,3524008.647866914,16708.73115887912,0.004719024245724019
0,2470089.388570071,2469693.680777175,395.70779289631173,0.0001601997865856126
0,3539067.4203667254,3522445.5473287264,16621.87303799903,0.004696681657530175
0,2643098.2223886657,2636834.8371658428,6263.385222822893,0.0023697133802172664
0,3536636.957213135,3534403.9962132075,2232.9609999274835,0.0006313797618874214
0,2580643.1953365207,2576591.2984761493,4051.896860371344,0.0015701112295157754
0,3534603.6595077873,3548687.2756519094,14083.61614412209,0.0039844965661817115
0,2324742.2770168995,2328698.3910539905,3956.1140370909125,0.0017017430603823245
0,3534124.1129478514,3552386.4719965565,18262.359048705082,0.005167435682804091
0,2074361.8737203784,2084755.5264740852,10393.652753706789,0.005010530170931902
0,3535486.197640052,3542173.9743472897,6687.776707237586,0.0018916144296367776
0,2074360.4206011007,2084755.9925267885,10395.571925687836,0.005011458868211266
0,3537890.0919673597,3527249.6070630434,10640.484904316254,0.003007579271180599
0,2324738.308724628,2328695.2477820637,3956.9390574358404,0.0017021008526360338
0,3540049.731927951,3521237.855516477,18811.876411473844,0.005314014727479177
0,2580639.823837401,2576589.062328868,4050.7615085328,0.0015696733310537438
0,3540716.0128102996,3524008.7602168648,16707.25259343488,0.004718608477208591
0,2258344.532220048,2250880.9840605194,7463.548159528524,0.0033048757853574896
0,3541205.829629281,3538843.8433965147,2361.986232766416,0.0006670005490795449
0,2053339.5373870982,2051172.5604073962,2166.9769797020126,0.0010553427430027085
0,3541027.988861387,3555118.6925596423,14090.703698255122,0.003979269224241848
0,1699577.7570940873,1704718.461152781,5140.704058693722,0.003024694832134789
0,3540942.161656008,3559261.7504274887,18319.5887714806,0.005173648123897341
0,1505574.4325371296,1513966.7096620274,8392.27712489781,0.005574136318691002
0,3541146.6825360837,3547766.042219313,6619.359683229122,0.0018692701197253136
0,1699580.4815784504,1704719.992296903,5139.510718452511,0.0030239878453295114
0,3541088.8845085753,3530312.2980343434,10776.58647423191,0.0030432973657839885
0,2053338.6792835253,2051172.627574533,2166.051708992338,0.0010548925663583864
0,3540051.606388908,3521238.543681831,18813.06270707678,0.005314347020569956
0,2258345.5103079956,2250881.7938425015,7463.71646549413,0.0033049488802429617
0,3537886.569975132,3527245.8599450467,10640.710030085407,0.003007645898087739
0,2184974.0795862647,2179518.523244399,5455.556341865566,0.0024968517443001437
0,3535488.741409621,3542177.2497196277,6688.508310006466,0.0018918199997830332
0,1876101.1901088085,1877832.9582447316,1731.7681359231938,0.0009230675536337974
0,3534125.4830899867,3552385.8450721465,18260.361982159782,0.005166868598619828
0,1555357.6927155997,1562862.0673661262,7504.374650526559,0.004824854556397368
0,3534604.0092492285,3548687.54064018,14083.53139095148,0.0039844721938011125
0,1555355.8276479493,1562862.5967659415,7506.7691179921385,0.0048263998401858145
0,3536640.398344807,3534407.79027681,2232.6080679968,0.0006312793545653353
0,1876098.0725360382,1877830.3901715353,1732.3176354970783,0.0009233619824337845
0,3539065.3550960426,3522443.3835451,16621.9715509424,0.004696712234208321
0,2184971.5183063312,2179515.9818235817,5455.536482749507,0.00249684558221534
0,3541089.9640749143,3530314.433252797,10775.530822117347,0.0030429983229562996
0,2643088.498073797,2636824.210967821,6264.287105976138,0.002370063321958898
0,3541147.22378253,3547765.2645629165,6618.040780386422,0.0018688973832941239
0,2470081.265496637,2469686.592946552,394.6725500850007,0.000159781200561289
0,3540943.0911721676,3559262.7610461074,18319.669873939827,0.005173669669984846
0,2184641.573355227,2192416.2031531204,7774.629797893576,0.0035587667527323978
0,3541029.6051991493,3555119.048072837,14089.442873687483,0.003978911346293329
0,2037247.0577191217,2048600.2055735968,11353.147854475072,0.005572788931739053
0,3541201.6985898525,3538842.605089624,2359.0935002285987,0.0006661844483944581
0,2184642.22735993,2192417.4074590043,7775.180099074263,0.003559017582696055
0,3540717.4896047465,3524008.916736372,16708.572868374642,0.004718979392574988
0,2470081.6778727807,2469685.5825401726,396.0953326080926,0.00016035718015171364
0,3539067.2454232867,3522445.4128251025,16621.832598184235,0.004696670463009582
0,2643088.900427975,2636826.4674877147,6262.432940260507,0.002369361446467608
0,3536636.711340977,3534403.9962132084,2232.7151277684607,0.0006313102843186537
0,2580634.073452044,2576582.9580560667,4051.115395977162,0.0015698139607054384
0,3534603.710392015,3548687.2756519094,14083.565259894356,0.003984482112800243
0,2324736.5267156013,2328692.589916681,3956.0632010796107,0.0017017254022625762
0,3534123.731460468,3552386.4047508673,18262.67329039937,0.005167525157035847
0,2074358.3867603948,2084753.0904521106,10394.70369171584,0.0050110452263505195
0,3535487.2522994685,3542174.041600663,6686.789301194716,0.0018913345810667686
0,2074357.1877358702,2084753.5565069946,10396.368771124398,0.005011850819420295
0,3537889.9771683076,3527249.607063044,10640.370105263777,0.0030075469203200674
0,2324734.2202962954,2328689.8333880603,3955.6130917649716,0.0017015334730439916
0,3540051.518900844,3521237.855516477,18813.66338436678,0.005314516832288436
0,2580630.276412068,2576580.126159692,4050.1502523757517,0.0015694422751665162
0,3540718.9229734675,3524008.6929995557,16710.229973911773,0.004719445496079834
0,2258354.18088556,2250889.4074957944,7464.773389765527,0.003305404197865188
0,3541202.1065575583,3538843.9777189526,2358.128838605713,0.000665911960867457
0,2053343.5681945146,2051178.2218478045,2165.34634671011,0.0010545465358308636
0,3541028.196840441,3555118.558334401,14090.361493960023,0.003979172350712274
0,1699580.6976030653,1704719.3540388804,5138.656435815152,0.003023484817791969
0,3540944.4019715055,3559262.018831647,18317.616860141512,0.005173087962054061
0,1505573.9950773863,1513964.2506919464,8390.255614560097,0.00557279525416407
0,3541146.5545178833,3547765.9079515855,6619.353433702141,0.001869268422470966
0,1699581.4853182514,1704720.8851850363,5139.399866784923,0.0030239208365008493
0,3541088.826051856,3530312.163653473,10776.662398383021,0.0030433188569286705
0,2053344.6481006148,2051178.2890223644,2166.3590782503597,0.0010550391919127097
0,3540051.46776898,3521238.543681831,18812.92408714909,0.005314308071064689
0,2258353.738804331,2250890.488997187,7463.24980714405,0.003304730201875023
0,3537886.0527127194,3527245.9944603895,10640.058252329938,0.003007462109801851
0,2184981.096859164,2179525.3323924765,5455.764466687571,0.0024969389778840864
0,3535489.874617183,3542177.2497196277,6687.375102444552,0.0018914988699178922
0,1876104.772393214,1877836.5678238417,1731.7954306276515,0.0009230803397075328
0,3534124.734970346,3552385.7778264633,18261.042856117245,0.005167062349391148
0,1555354.3613532858,1562860.6321701643,7506.270816878416,0.004826084012358023
0,3534602.5119946655,3548687.473391477,14084.96139681153,0.003984878454936374
0,1555354.5858068175,1562861.2064178593,7506.620611041784,0.004826308212636821
0,3536642.6291059246,3534407.9247913836,2234.7043145410717,0.0006318716785659547
0,1876102.1394548034,1877833.7741539534,1731.6346991499886,0.000922995962071235
0,3539062.869837792,3522443.316293239,16619.553544552997,0.0046960322988878495
0,2184978.6126134084,2179524.0069024246,5454.605710983742,0.0024964114886504994
0,3541089.3898530276,3530314.4332527975,10774.956600230187,0.0030428366567378296
0,2643086.825663195,2636823.5671473662,6263.258515828755,0.002369675659163107
0,3541146.996102975,3547765.2645629155,6618.268459940329,0.0018689617988814696
0,2470081.0163479424,2469685.96027304,395.0560749024153,0.00015993648479049183
0,3540943.293834312,3559262.5552755143,18319.26144120237,0.005173554028131681
0,2184640.828360215,2192415.941741254,7775.113381039351,0.0035589893222289217
0,3541029.867938012,3555119.388104221,14089.520166208968,0.003978932878759783
0,2037245.747640503,2048599.891676734,11354.144036230864,0.005573281499976625
0,3541201.762321982,3538842.6050896244,2359.1572323576547,0.0006662024337214677
0,2184642.5472166208,2192417.546867161,7774.999650540296,0.0035589344629610737
0,3540717.114475117,3524008.647866914,16708.466608203016,0.0047189498816202135
0,2470081.331194633,2469685.582540173,395.7486544600688,0.00016021685175389284
0,3539066.955665902,3522445.6818325394,16621.273833362386,0.004696512962760539
0,2643088.002007583,2636825.1798467077,6262.822160875425,0.0023695095116463916
0,3536637.401942248,3534403.861698637,2233.5402436112054,0.0006315434662271545
0,2580633.430759273,2576582.9580560667,4050.472703206353,0.0015695653070783573
0,3534603.295574612,3548687.27565191,14083.980077297892,0.0039845999393853596
0,2324735.983216804,2328692.2031748,3956.21995799616,0.0017017932300948104
0,3534125.1197196245,3552386.4047508673,18261.28503124276,0.005167130311643154
0,2074357.4969275352,2084753.0904521109,10395.5935245757,0.005011476343867094
0,3535486.3765938887,3542174.041600663,6687.665006774478,0.0018915827398032345
0,2074358.2228438489,2084753.434706052,10395.2118622032,0.005011290599533887
0,3537889.952580962,3527249.539805403,10640.412775558885,0.0030075590021663872
0,2324732.6555690747,2328689.446646201,3956.791077126283,0.0017020413369457721
0,3540052.168904763,3521237.9227548367,18814.246149926446,0.005314680477081014
0,2580630.6756531433,2576579.3814800754,4051.2941730679013,0.0015698853041195215
0,3540716.6010444704,3524008.726608204,16707.874436266255,0.004718783319551083
0,2258344.3194545708,2250881.187852747,7463.1316018239595,0.0033046916440210654
0,3541203.752162973,3538843.944138333,2359.8080246397294,0.000666385836510637
0,2053340.2275053984,2051172.6547644013,2167.572740997188,0.0010556325308205597
0,3541027.954365549,3555118.5583344004,14090.603968851268,0.003979241099037271
0,1699578.69846449,1704718.516957407,5139.818492916878,0.0030241721066288515
0,3540943.678582179,3559261.94726314,18318.268680961337,0.005173273099982238
0,1505576.1336949118,1513966.6303467965,8390.496651884634,0.005572947434609689
0,3541146.6392393387,3547765.979555099,6619.340315760113,0.0018692646733155312
0,1699579.842060136,1704720.1039065092,5140.261846373323,0.0030244309323783133
0,3541088.625155476,3530312.163653473,10776.461502003018,0.0030432622966418592
0,2053339.169261544,2051173.0050031147,2166.164258429315,0.0010549471275163697
0,3540051.415781962,3521238.5436818306,18812.872100131586,0.005314293463722478
0,2258345.8535116054,2250881.7938425015,7464.059669103939,0.003305100349221414
0,3537886.3264279175,3527245.9944603895,10640.331967527978,0.0030075392439957663
0,2184974.362640069,2179518.523244399,5455.839395669755,0.002496980966439145
0,3535490.0537618543,3542177.1152129276,6687.06145107327,0.0018914100589699188
0,1876101.6725928162,1877832.9582447316,1731.2856519154739,0.0009228101425456313
0,3534124.141162325,3552385.8786949874,18261.737532662228,0.005167259780143488
0,1555355.3447950408,1562862.0673661265,7506.722571085673,0.004826371411656339
0,3534603.5930683473,3548687.5070158276,14083.913947480265,0.003984580894757193
