beta,timestep_ns,src,dst,baseline_path,da_path,path_changed,baseline_hop_count,da_hop_count,baseline_total_cost_m,da_modified_total_cost_m,baseline_path_da_modified_cost_m,da_path_baseline_cost_m,baseline_physical_rtt_ms,da_physical_rtt_ms
0.02,50000000000,432,446,432->31->44->446,432->31->44->446,False,3,3,4614684.886427056,4588484.990841222,4588484.990841222,4614684.886427056,30.78586377531256,30.78586377531256
0.02,50000000000,446,432,446->44->31->432,446->44->31->432,False,3,3,4614684.886427056,4644289.049150735,4644289.049150735,4614684.886427056,30.78586377531256,30.78586377531256
0.02,50000000000,394,361,394->31->18->361,394->31->18->361,False,3,3,5120720.608229354,5080729.839836067,5080729.839836067,5120720.608229354,34.1617707289311,34.1617707289311
0.02,50000000000,361,394,361->18->31->394,361->18->31->394,False,3,3,5120720.608229354,5164111.790366041,5164111.790366041,5120720.608229354,34.1617707289311,34.1617707289311
0.02,50000000000,441,436,441->241->240->239->238->237->224->223->222->436,441->241->240->239->238->237->224->223->222->436,False,9,9,25687066.452633094,26059184.48937525,26059184.48937525,25687066.452633094,171.36566159134725,171.36566159134725
0.02,50000000000,436,441,436->222->223->224->237->238->239->240->241->441,436->222->223->224->237->238->239->240->241->441,False,9,9,25687066.452633098,25315140.28900225,25315140.28900225,25687066.452633098,171.36566159134728,171.36566159134728
0.02,50000000000,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,False,11,11,23575258.51766868,23575834.99616292,23575834.99616292,23575258.51766868,157.2771955301736,157.2771955301736
0.02,50000000000,367,366,367->104->105->118->131->144->157->170->183->196->209->366,367->104->105->118->131->144->157->170->183->196->209->366,False,11,11,23575258.51766868,23545215.009388387,23545215.009388387,23575258.51766868,157.2771955301736,157.2771955301736
0.02,50000000000,364,440,364->18->19->20->21->34->47->60->73->86->440,364->18->19->20->21->34->47->60->73->86->440,False,10,10,23989446.939080067,23839601.09072435,23839601.09072435,23989446.939080067,160.04036325076643,160.04036325076643
0.02,50000000000,440,364,440->86->73->60->47->34->21->20->19->18->364,440->86->73->60->47->34->21->20->19->18->364,False,10,10,23989446.93908007,24120691.575501513,24120691.575501513,23989446.93908007,160.04036325076643,160.04036325076643
0.02,60000000000,399,447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,False,16,16,38224116.667908326,38679023.97672143,38679023.97672143,38224116.667908326,255.00385782158887,255.00385782158887
0.02,60000000000,447,399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,False,16,16,38224116.66790832,37772713.09905196,37772713.09905196,38224116.66790832,255.0038578215888,255.0038578215888
0.02,60000000000,425,410,425->187->200->213->226->239->240->241->410,425->187->200->213->226->239->240->241->410,False,8,8,18707106.718581874,18604234.676146433,18604234.676146433,18707106.718581874,124.80038252718067,124.80038252718067
0.02,60000000000,410,425,410->241->240->239->226->213->200->187->425,410->241->240->239->226->213->200->187->425,False,8,8,18707106.718581874,18823361.01592028,18823361.01592028,18707106.718581874,124.80038252718067,124.80038252718067
0.02,60000000000,386,424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,False,13,13,29173873.819517177,28971547.61600997,28971547.61600997,29173873.819517177,194.62713648064604,194.62713648064604
0.02,60000000000,424,386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,False,13,13,29173873.81951717,29379408.02322578,29379408.02322578,29173873.81951717,194.62713648064602,194.62713648064602
0.02,60000000000,355,401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,False,16,16,35319335.90222194,35403116.99807889,35403116.99807889,35319335.90222194,235.62524646448537,235.62524646448537
0.02,60000000000,401,355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,False,16,16,35319335.90222193,35281174.038537845,35281174.038537845,35319335.90222193,235.62524646448531,235.62524646448531
0.02,60000000000,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,False,6,6,12700929.309901047,12681490.010336787,12681490.010336787,12700929.309901047,84.73147986865666,84.73147986865666
0.02,60000000000,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,False,6,6,12700929.30990105,12709303.518507663,12709303.518507663,12700929.30990105,84.73147986865666,84.73147986865666
0.02,60000000000,432,446,432->31->44->446,432->31->44->446,False,3,3,4605012.935684202,4578817.2207082035,4578817.2207082035,4605012.935684202,30.72133946534574,30.72133946534574
0.02,60000000000,446,432,446->44->31->432,446->44->31->432,False,3,3,4605012.935684202,4634576.910432034,4634576.910432034,4605012.935684202,30.72133946534574,30.72133946534574
0.02,60000000000,394,361,394->31->18->361,394->31->18->361,False,3,3,5086280.866977637,5046254.945688614,5046254.945688614,5086280.866977637,33.932013506341356,33.932013506341356
0.02,60000000000,361,394,361->18->31->394,361->18->31->394,False,3,3,5086280.866977637,5129676.327914396,5129676.327914396,5086280.866977637,33.932013506341356,33.932013506341356
0.02,60000000000,441,436,441->241->240->239->238->237->224->223->222->436,441->241->240->239->238->237->224->223->222->436,False,9,9,25725820.700796735,26097971.71880536,26097971.71880536,25725820.700796735,171.62420210582306,171.62420210582306
0.02,60000000000,436,441,436->222->223->224->237->238->239->240->241->441,436->222->223->224->237->238->239->240->241->441,False,9,9,25725820.70079674,25353935.880052533,25353935.880052533,25725820.70079674,171.6242021058231,171.6242021058231
0.02,60000000000,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,False,11,11,23501351.170769457,23502036.83211425,23502036.83211425,23501351.170769457,156.78413878423493,156.78413878423493
0.02,60000000000,367,366,367->104->105->118->131->144->157->170->183->196->209->366,367->104->105->118->131->144->157->170->183->196->209->366,False,11,11,23501351.170769453,23471043.96247112,23471043.96247112,23501351.170769453,156.7841387842349,156.7841387842349
0.02,60000000000,364,440,364->18->31->44->57->70->71->72->440,364->18->31->44->57->70->71->72->440,False,8,8,19047620.98912445,18944821.18988329,18944821.18988329,19047620.98912445,127.07204921829255,127.07204921829255
0.02,60000000000,440,364,440->72->71->70->57->44->31->18->364,440->72->71->70->57->44->31->18->364,False,8,8,19047620.989124447,19163877.076824013,19163877.076824013,19047620.989124447,127.07204921829252,127.07204921829252
0.02,70000000000,399,447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,False,16,16,38225261.34659276,38680492.25328157,38680492.25328157,38225261.34659276,255.01149429578217,255.01149429578217
0.02,70000000000,447,399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,False,16,16,38225261.346592754,37774135.85716186,37774135.85716186,38225261.346592754,255.01149429578211,255.01149429578211
0.02,70000000000,425,410,425->27->28->29->16->3->341->328->315->302->289->276->263->250->237->238->239->240->241->410,425->27->28->29->16->3->341->328->315->302->289->276->263->250->237->238->239->240->241->410,False,19,19,41714115.67750261,41247723.654259875,41247723.654259875,41714115.67750261,278.28662505914417,278.28662505914417
0.02,70000000000,410,425,410->241->240->239->238->237->250->263->276->289->302->315->328->341->3->16->29->28->27->425,410->241->240->239->238->237->250->263->276->289->302->315->328->341->3->16->29->28->27->425,False,19,19,41714115.67750262,42185231.81219306,42185231.81219306,41714115.67750262,278.28662505914417,278.28662505914417
0.02,70000000000,386,424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,False,13,13,29180694.46705791,28978649.41165498,28978649.41165498,29180694.46705791,194.67263894315786,194.67263894315786
0.02,70000000000,424,386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,False,13,13,29180694.467057906,29386473.124908995,29386473.124908995,29180694.467057906,194.67263894315784,194.67263894315784
0.02,70000000000,355,401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,False,16,16,35382094.96677056,35465581.88873877,35465581.88873877,35382094.96677056,236.04392987611823,236.04392987611823
0.02,70000000000,401,355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,False,16,16,35382094.96677056,35344221.47092844,35344221.47092844,35382094.96677056,236.04392987611823,236.04392987611823
0.02,70000000000,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,False,6,6,12637736.184481531,12618203.228725139,12618203.228725139,12637736.184481531,84.30990071459057,84.30990071459057
0.02,70000000000,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,False,6,6,12637736.184481533,12646155.013192251,12646155.013192251,12637736.184481533,84.30990071459057,84.30990071459057
0.02,70000000000,432,446,432->31->44->446,432->31->44->446,False,3,3,4602700.6064380035,4576511.669006648,4576511.669006648,4602700.6064380035,30.705913265089567,30.705913265089567
0.02,70000000000,446,432,446->44->31->432,446->44->31->432,False,3,3,4602700.6064380035,4632225.745374626,4632225.745374626,4602700.6064380035,30.705913265089567,30.705913265089567
0.02,70000000000,394,361,394->31->18->361,394->31->18->361,False,3,3,5058546.115710573,5018481.313817902,5018481.313817902,5058546.115710573,33.74698716210248,33.74698716210248
0.02,70000000000,361,394,361->18->31->394,361->18->31->394,False,3,3,5058546.115710573,5101941.205308764,5101941.205308764,5058546.115710573,33.74698716210248,33.74698716210248
0.02,70000000000,441,436,441->241->240->239->238->237->224->223->222->436,441->241->240->239->238->237->224->223->222->436,False,9,9,25771281.164490964,26143464.49418096,26143464.49418096,25771281.164490964,171.92748167461212,171.92748167461212
0.02,70000000000,436,441,436->222->223->224->237->238->239->240->241->441,436->222->223->224->237->238->239->240->241->441,False,9,9,25771281.164490968,25399438.230256785,25399438.230256785,25771281.164490968,171.92748167461215,171.92748167461215
0.02,70000000000,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,False,11,11,23435211.21998916,23436016.37012492,23436016.37012492,23435211.21998916,156.3429005274653,156.3429005274653
0.02,70000000000,367,366,367->104->105->118->131->144->157->170->183->196->209->366,367->104->105->118->131->144->157->170->183->196->209->366,False,11,11,23435211.21998916,23404645.701578867,23404645.701578867,23435211.21998916,156.3429005274653,156.3429005274653
0.02,70000000000,364,440,364->18->31->44->57->70->71->72->440,364->18->31->44->57->70->71->72->440,False,8,8,19018757.14352699,18915967.693729233,18915967.693729233,19018757.14352699,126.87949036747942,126.87949036747942
0.02,70000000000,440,364,440->72->71->70->57->44->31->18->364,440->72->71->70->57->44->31->18->364,False,8,8,19018757.143526994,19134857.54647798,19134857.54647798,19018757.143526994,126.87949036747945,126.87949036747945
0.02,80000000000,399,447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,False,16,16,38232185.679628596,38687744.638967834,38687744.638967834,38232185.679628596,255.05768847346116,255.05768847346116
0.02,80000000000,447,399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,False,16,16,38232185.679628596,37781331.222692534,37781331.222692534,38232185.679628596,255.05768847346116,255.05768847346116
0.02,80000000000,425,410,425->27->28->29->16->3->341->328->315->302->289->276->263->250->237->238->239->240->241->410,425->27->28->29->16->3->341->328->315->302->289->276->263->250->237->238->239->240->241->410,False,19,19,41665849.58239898,41199838.79500374,41199838.79500374,41665849.58239898,277.96462833230436,277.96462833230436
0.02,80000000000,410,425,410->241->240->239->238->237->250->263->276->289->302->315->328->341->3->16->29->28->27->425,410->241->240->239->238->237->250->263->276->289->302->315->328->341->3->16->29->28->27->425,False,19,19,41665849.58239897,42137410.607326806,42137410.607326806,41665849.58239897,277.9646283323043,277.9646283323043
0.02,80000000000,386,424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,False,13,13,29195261.19947357,28993499.505287718,28993499.505287718,29195261.19947357,194.76981772152234,194.76981772152234
0.02,80000000000,424,386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,False,13,13,29195261.199473564,29401277.44158526,29401277.44158526,29195261.199473564,194.7698177215223,194.7698177215223
0.02,80000000000,355,401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,False,16,16,35452196.244294845,35535380.20799369,35535380.20799369,35452196.244294845,236.51159526031068,236.51159526031068
0.02,80000000000,401,355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,False,16,16,35452196.244294845,35414601.514211774,35414601.514211774,35452196.244294845,236.51159526031068,236.51159526031068
0.02,80000000000,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,False,6,6,12582193.422101155,12562564.860084482,12562564.860084482,12582193.422101155,83.93935928902624,83.93935928902624
0.02,80000000000,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,False,6,6,12582193.422101155,12590657.932440797,12590657.932440797,12582193.422101155,83.93935928902624,83.93935928902624
0.02,80000000000,432,446,432->31->44->446,432->31->44->446,False,3,3,4607813.628614797,4581626.957103567,4581626.957103567,4607813.628614797,30.74002367741217,30.74002367741217
0.02,80000000000,446,432,446->44->31->432,446->44->31->432,False,3,3,4607813.628614797,4637294.289408943,4637294.289408943,4607813.628614797,30.74002367741217,30.74002367741217
0.02,80000000000,394,361,394->31->18->361,394->31->18->361,False,3,3,5037769.554665545,4997668.680679275,4997668.680679275,5037769.554665545,33.6083808663762,33.6083808663762
0.02,80000000000,361,394,361->18->31->394,361->18->31->394,False,3,3,5037769.554665545,5081164.955320749,5081164.955320749,5037769.554665545,33.6083808663762,33.6083808663762
0.02,80000000000,441,436,441->241->240->239->252->265->278->291->304->317->330->343->5->18->31->436,441->241->240->239->252->265->278->291->304->317->330->343->5->18->31->436,False,15,15,34058789.526489586,34290738.418507874,34290738.418507874,34058789.526489586,227.2157862389559,227.2157862389559
0.02,80000000000,436,441,436->31->18->5->343->330->317->304->291->278->265->252->239->240->241->441,436->31->18->5->343->330->317->304->291->278->265->252->239->240->241->441,False,15,15,34058789.526489586,33863378.77522875,33863378.77522875,34058789.526489586,227.2157862389559,227.2157862389559
0.02,80000000000,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,False,11,11,23376984.027592037,23377916.70122328,23377916.70122328,23376984.027592037,155.9544505125078,155.9544505125078
0.02,80000000000,367,366,367->104->105->118->131->144->157->170->183->196->209->366,367->104->105->118->131->144->157->170->183->196->209->366,False,11,11,23376984.02759204,23346160.516388502,23346160.516388502,23376984.02759204,155.95445051250783,155.95445051250783
0.02,80000000000,364,440,364->18->31->44->57->70->71->72->440,364->18->31->44->57->70->71->72->440,False,8,8,18995496.58892494,18892722.56557771,18892722.56557771,18995496.58892494,126.72431265048664,126.72431265048664
0.02,80000000000,440,364,440->72->71->70->57->44->31->18->364,440->72->71->70->57->44->31->18->364,False,8,8,18995496.58892494,19111436.94598132,19111436.94598132,18995496.58892494,126.72431265048664,126.72431265048664
0.02,90000000000,399,447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,False,16,16,38244848.34964206,38700741.06001191,38700741.06001191,38244848.34964206,255.14216471477786,255.14216471477786
0.02,90000000000,447,399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,False,16,16,38244848.34964205,37794256.54379659,37794256.54379659,38244848.34964205,255.1421647147778,255.1421647147778
0.02,90000000000,425,410,425->27->28->29->16->3->341->328->315->302->289->276->263->250->237->238->239->240->241->410,425->27->28->29->16->3->341->328->315->302->289->276->263->250->237->238->239->240->241->410,False,19,19,41626927.383664824,41161286.43960374,41161286.43960374,41626927.383664824,277.70496737222675,277.70496737222675
0.02,90000000000,410,425,410->241->240->239->238->237->250->263->276->289->302->315->328->341->3->16->29->28->27->425,410->241->240->239->238->237->250->263->276->289->302->315->328->341->3->16->29->28->27->425,False,19,19,41626927.383664824,42098940.65896335,42098940.65896335,41626927.383664824,277.70496737222675,277.70496737222675
0.02,90000000000,386,424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,False,13,13,29217572.566231128,29016099.11856361,29016099.11856361,29217572.566231128,194.9186631388247,194.9186631388247
0.02,90000000000,424,386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,False,13,13,29217572.566231124,29423819.032841112,29423819.032841112,29217572.566231124,194.91866313882468,194.91866313882468
0.02,90000000000,355,401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,False,16,16,35529694.62896295,35612566.302586205,35612566.302586205,35529694.62896295,237.02860883153338,237.02860883153338
0.02,90000000000,401,355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,False,16,16,35529694.62896294,35492369.44707689,35492369.44707689,35529694.62896294,237.02860883153332,237.02860883153332
0.02,90000000000,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,False,6,6,12534711.666045776,12514989.588138448,12514989.588138448,12534711.666045776,83.62259510908561,83.62259510908561
0.02,90000000000,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,False,6,6,12534711.666045774,12543225.946849145,12543225.946849145,12534711.666045774,83.6225951090856,83.6225951090856
0.02,90000000000,432,446,432->31->44->446,432->31->44->446,False,3,3,4620354.797521422,4594175.922089921,4594175.922089921,4620354.797521422,30.82368935059348,30.82368935059348
0.02,90000000000,446,432,446->44->31->432,446->44->31->432,False,3,3,4620354.797521422,4649791.969942966,4649791.969942966,4620354.797521422,30.82368935059348,30.82368935059348
0.02,90000000000,394,361,394->31->18->361,394->31->18->361,False,3,3,5024158.918740967,4984015.766289514,4984015.766289514,5024158.918740967,33.517580477231135,33.517580477231135
0.02,90000000000,361,394,361->18->31->394,361->18->31->394,False,3,3,5024158.918740967,5067555.138120148,5067555.138120148,5024158.918740967,33.517580477231135,33.517580477231135
0.02,90000000000,441,436,441->241->240->239->252->265->278->291->304->317->330->343->5->18->31->436,441->241->240->239->252->265->278->291->304->317->330->343->5->18->31->436,False,15,15,34162062.14199877,34394044.02041812,34394044.02041812,34162062.14199877,227.90474696997725,227.90474696997725
0.02,90000000000,436,441,436->31->18->5->343->330->317->304->291->278->265->252->239->240->241->441,436->31->18->5->343->330->317->304->291->278->265->252->239->240->241->441,False,15,15,34162062.14199875,33966206.46322387,33966206.46322387,34162062.14199875,227.90474696997717,227.90474696997717
0.02,90000000000,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,False,11,11,23326747.98364901,23327815.539405994,23327815.539405994,23326747.98364901,155.619311701624,155.619311701624
0.02,90000000000,367,366,367->104->105->118->131->144->157->170->183->196->209->366,367->104->105->118->131->144->157->170->183->196->209->366,False,11,11,23326747.983649015,23295672.359764602,23295672.359764602,23326747.983649015,155.619311701624,155.619311701624
0.02,90000000000,364,440,364->18->31->44->57->70->71->72->440,364->18->31->44->57->70->71->72->440,False,8,8,18978131.187620483,18875373.939233534,18875373.939233534,18978131.187620483,126.60846316300913,126.60846316300913
0.02,90000000000,440,364,440->72->71->70->57->44->31->18->364,440->72->71->70->57->44->31->18->364,False,8,8,18978131.187620483,19093903.308553662,19093903.308553662,18978131.187620483,126.60846316300913,126.60846316300913
0.02,100000000000,399,447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,False,16,16,38263219.38488749,38719445.627972044,38719445.627972044,38263219.38488749,255.2647230697677,255.2647230697677
0.02,100000000000,447,399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,False,16,16,38263219.38488749,37812890.12734213,37812890.12734213,38263219.38488749,255.2647230697677,255.2647230697677
0.02,100000000000,425,410,425->27->28->29->16->3->341->328->315->302->289->276->263->250->237->238->239->240->241->410,425->27->28->29->16->3->341->328->315->302->289->276->263->250->237->238->239->240->241->410,False,19,19,41597739.52879321,41132467.51357303,41132467.51357303,41597739.52879321,277.5102469642062,277.5102469642062
0.02,100000000000,410,425,410->241->240->239->238->237->250->263->276->289->302->315->328->341->3->16->29->28->27->425,410->241->240->239->238->237->250->263->276->289->302->315->328->341->3->16->29->28->27->425,False,19,19,41597739.5287932,42070205.19034912,42070205.19034912,41597739.5287932,277.5102469642062,277.5102469642062
0.02,100000000000,386,424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,False,13,13,29247619.50600976,29046434.51388357,29046434.51388357,29247619.50600976,195.11911474443937,195.11911474443937
0.02,100000000000,424,386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,False,13,13,29247619.50600976,29454096.687393125,29454096.687393125,29247619.50600976,195.11911474443937,195.11911474443937
0.02,100000000000,355,401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,False,16,16,35614594.21982933,35697147.96966374,35697147.96966374,35614594.21982933,237.5949979357341,237.5949979357341
0.02,100000000000,401,355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,False,16,16,35614594.21982933,35577528.367023274,35577528.367023274,35614594.21982933,237.5949979357341,237.5949979357341
0.02,100000000000,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,False,6,6,12495629.460857969,12475814.385324335,12475814.385324335,12495629.460857969,83.36186670084922,83.36186670084922
0.02,100000000000,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,False,6,6,12495629.460857969,12504196.722347999,12504196.722347999,12495629.460857969,83.36186670084922,83.36186670084922
0.02,100000000000,432,446,432->31->44->446,432->31->44->446,False,3,3,4640262.144766193,4614083.688094946,4614083.688094946,4640262.144766193,30.95649687602343,30.95649687602343
0.02,100000000000,446,432,446->44->31->432,446->44->31->432,False,3,3,4640262.144766193,4669657.052610315,4669657.052610315,4640262.144766193,30.95649687602343,30.95649687602343
0.02,100000000000,394,361,394->31->18->361,394->31->18->361,False,3,3,5017867.846125082,4977687.812504526,4977687.812504526,5017867.846125082,33.47561095833226,33.47561095833226
0.02,100000000000,361,394,361->18->31->394,361->18->31->394,False,3,3,5017867.846125082,5061262.689341402,5061262.689341402,5017867.846125082,33.47561095833226,33.47561095833226
0.02,100000000000,441,436,441->241->240->239->252->265->278->291->304->317->330->343->5->18->31->436,441->241->240->239->252->265->278->291->304->317->330->343->5->18->31->436,False,15,15,34271113.83593312,34503110.48126938,34503110.48126938,34271113.83593312,228.63226156231804,228.63226156231804
0.02,100000000000,436,441,436->31->18->5->343->330->317->304->291->278->265->252->239->240->241->441,436->31->18->5->343->330->317->304->291->278->265->252->239->240->241->441,False,15,15,34271113.83593311,34074824.56662542,34074824.56662542,34271113.83593311,228.63226156231798,228.63226156231798
0.02,100000000000,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,False,11,11,23284506.699976675,23285715.07935159,23285715.07935159,23284506.699976675,155.33750819026056,155.33750819026056
0.02,100000000000,367,366,367->104->105->118->131->144->157->170->183->196->209->366,367->104->105->118->131->144->157->170->183->196->209->366,False,11,11,23284506.699976675,23253184.989243053,23253184.989243053,23284506.699976675,155.33750819026056,155.33750819026056
0.02,100000000000,364,440,364->18->31->44->57->70->71->72->440,364->18->31->44->57->70->71->72->440,False,8,8,18966933.405299798,18864176.184053592,18864176.184053592,18966933.405299798,126.53375960044863,126.53375960044863
0.02,100000000000,440,364,440->72->71->70->57->44->31->18->364,440->72->71->70->57->44->31->18->364,False,8,8,18966933.405299798,19082547.567132685,19082547.567132685,18966933.405299798,126.53375960044863,126.53375960044863
0.02,110000000000,399,447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,False,16,16,38287292.04074175,38743857.26335789,38743857.26335789,38287292.04074175,255.4253185431486,255.4253185431486
0.02,110000000000,447,399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,False,16,16,38287292.04074175,37837218.075028144,37837218.075028144,38287292.04074175,255.4253185431486,255.4253185431486
0.02,110000000000,425,410,425->27->28->29->16->3->341->328->315->302->289->276->263->250->237->238->239->240->241->410,425->27->28->29->16->3->341->328->315->302->289->276->263->250->237->238->239->240->241->410,False,19,19,41578613.6911543,41113701.805634424,41113701.805634424,41578613.6911543,277.3826531096676,277.3826531096676
0.02,110000000000,410,425,410->241->240->239->238->237->250->263->276->289->302->315->328->341->3->16->29->28->27->425,410->241->240->239->238->237->250->263->276->289->302->315->328->341->3->16->29->28->27->425,False,19,19,41578613.69115431,42051538.5534601,42051538.5534601,41578613.69115431,277.3826531096677,277.3826531096677
0.02,110000000000,386,424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,False,13,13,29285395.119633693,29084503.224344224,29084503.224344224,29285395.119633693,195.37112651201983,195.37112651201983
0.02,110000000000,424,386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,False,13,13,29285395.119633704,29492096.116542265,29492096.116542265,29285395.119633704,195.37112651201988,195.37112651201988
0.02,110000000000,355,401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,False,16,16,35706804.268836044,35789027.13983208,35789027.13983208,35706804.268836044,238.21015716703616,238.21015716703616
0.02,110000000000,401,355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,False,16,16,35706804.26883604,35669992.3677831,35669992.3677831,35706804.26883604,238.2101571670361,238.2101571670361
0.02,110000000000,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,False,6,6,12465198.077652862,12445291.770366313,12445291.770366313,12465198.077652862,83.15885036476043,83.15885036476043
0.02,110000000000,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,False,6,6,12465198.07765286,12473822.42184355,12473822.42184355,12465198.07765286,83.15885036476041,83.15885036476041
0.02,110000000000,432,446,432->31->44->446,432->31->44->446,False,3,3,4667409.292861372,4641234.116810716,4641234.116810716,4667409.292861372,31.137603153855004,31.137603153855004
0.02,110000000000,446,432,446->44->31->432,446->44->31->432,False,3,3,4667409.292861372,4696756.391007166,4696756.391007166,4667409.292861372,31.137603153855004,31.137603153855004
0.02,110000000000,394,361,394->31->18->361,394->31->18->361,False,3,3,5018991.748230025,4978771.175521623,4978771.175521623,5018991.748230025,33.48310882610679,33.48310882610679
