beta,timestep_ns,src,dst,baseline_path,da_path,path_changed,baseline_hop_count,da_hop_count,baseline_total_cost_m,da_modified_total_cost_m,baseline_path_da_modified_cost_m,da_path_baseline_cost_m,baseline_physical_rtt_ms,da_physical_rtt_ms
0.01,10000000000,355,401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,False,14,14,32082665.313418716,32101041.521940786,32101041.521940786,32082665.313418716,214.03250453631304,214.03250453631304
0.01,10000000000,401,355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,False,14,14,32082665.313418712,32077846.929025136,32077846.929025136,32082665.313418712,214.032504536313,214.032504536313
0.01,10000000000,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,False,6,6,13114791.41125557,13105325.836974513,13105325.836974513,13114791.41125557,87.4924706161592,87.4924706161592
0.01,10000000000,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,False,6,6,13114791.41125557,13118889.42289277,13118889.42289277,13114791.41125557,87.4924706161592,87.4924706161592
0.01,10000000000,432,446,432->222->223->224->237->250->263->276->289->302->315->328->341->3->16->29->42->43->44->446,432->222->223->224->237->250->263->276->289->302->315->328->341->3->16->29->42->43->44->446,False,19,19,38358151.93222657,38254171.01452825,38254171.01452825,38358151.93222657,255.89804485492806,255.89804485492806
0.01,10000000000,446,432,446->44->43->42->29->16->3->341->328->315->302->289->276->263->250->237->224->223->222->432,446->44->43->42->29->16->3->341->328->315->302->289->276->263->250->237->224->223->222->432,False,19,19,38358151.93222657,38462081.88449883,38462081.88449883,38358151.93222657,255.89804485492806,255.89804485492806
0.01,10000000000,394,361,394->44->31->18->361,394->44->31->18->361,False,4,4,7223426.383665495,7218385.30391944,7218385.30391944,7223426.383665495,48.1895137179568,48.1895137179568
0.01,10000000000,361,394,361->18->31->44->394,361->18->31->44->394,False,4,4,7223426.383665495,7231994.959198711,7231994.959198711,7223426.383665495,48.1895137179568,48.1895137179568
0.01,10000000000,441,436,441->241->240->239->238->237->224->223->222->436,441->241->240->239->238->237->224->223->222->436,False,9,9,25603531.23752352,25789522.75176447,25789522.75176447,25603531.23752352,170.80837462244307,170.80837462244307
0.01,10000000000,436,441,436->222->223->224->237->238->239->240->241->441,436->222->223->224->237->238->239->240->241->441,False,9,9,25603531.23752352,25417487.308668006,25417487.308668006,25603531.23752352,170.80837462244307,170.80837462244307
0.01,10000000000,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,False,11,11,23943345.969727397,23943440.178083394,23943440.178083394,23943345.969727397,159.7328106881688,159.7328106881688
0.01,10000000000,367,366,367->104->105->118->131->144->157->170->183->196->209->366,367->104->105->118->131->144->157->170->183->196->209->366,False,11,11,23943345.969727393,23928880.815973822,23928880.815973822,23943345.969727393,159.73281068816877,159.73281068816877
0.01,10000000000,364,440,364->183->182->194->193->192->191->178->165->152->139->126->113->100->87->86->440,364->183->182->194->193->192->191->178->165->152->139->126->113->100->87->86->440,False,16,16,38404398.44118446,38585666.844736435,38585666.844736435,38404398.44118446,256.2065683532603,256.2065683532603
0.01,10000000000,440,364,440->86->87->100->113->126->139->152->165->178->191->192->193->194->182->183->364,440->86->87->100->113->126->139->152->165->178->191->192->193->194->182->183->364,False,16,16,38404398.44118446,38216216.20885458,38216216.20885458,38404398.44118446,256.2065683532603,256.2065683532603
0.01,20000000000,399,447,399->19->18->17->16->29->42->55->68->81->94->107->120->133->132->131->130->447,399->19->18->17->16->29->42->55->68->81->94->107->120->133->132->131->130->447,False,17,17,40137624.25490013,40384464.89019451,40384464.89019451,40137624.25490013,267.76940635978326,267.76940635978326
