timestep_ns,from_sat,to_sat,alpha
0,0,1,0.9687646855786934
0,1,0,-0.969086887168484
0,0,13,0.6120166024530509
0,13,0,-0.5919694329940185
0,1,2,0.9690913236614638
0,2,1,-0.9700231377345444
0,1,14,0.7258855708526865
0,14,1,-0.6390043733557638
0,2,3,0.9700074053561607
0,3,2,-0.9705406172649171
0,2,15,0.9065000957242554
0,15,2,-0.8138243892764195
0,3,4,0.970719578898956
0,4,3,-0.9701947174470587
0,3,16,0.9891205190553709
0,16,3,-0.9890325070666186
0,4,5,0.9706154657211744
0,5,4,-0.9692728909570608
0,4,17,0.8138646012833874
0,17,4,-0.9063326812548959
0,5,6,0.9697926007795942
0,6,5,-0.9685803978445033
0,5,18,0.639088933835114
0,18,5,-0.7257218429732492
0,6,7,0.9689667409218897
0,7,6,-0.9687254836617267
0,6,19,0.5921258360803494
0,19,6,-0.6118649060010367
0,7,8,0.9688753879083064
0,8,7,-0.969604510594955
0,7,20,0.6576777926969424
0,20,7,-0.599554637389124
0,8,9,0.9696177858425156
0,9,8,-0.9704696089320167
0,8,21,0.8127553512911929
0,21,8,-0.7115989560939914
0,9,10,0.9705572717914996
0,10,9,-0.9705910245785875
0,9,22,0.9789599277028717
0,22,9,-0.9218270953754107
0,10,11,0.9708903018255872
0,11,10,-0.9698705517831986
0,10,23,0.921841189994112
0,23,10,-0.978822360172842
0,11,12,0.9703271627370579
0,12,11,-0.968924651341558
0,11,24,0.7116245870733297
0,24,11,-0.8125264354919551
0,0,12,-0.9685577191360576
0,12,0,0.9693449762034432
0,12,25,0.5996733399115862
0,25,12,-0.6575317202129614
0,13,14,0.9688207121035114
0,14,13,-0.969553912628603
0,13,26,-0.791032569693843
0,26,13,0.8083338294107748
0,14,15,0.9695204062424145
0,15,14,-0.9703772964371223
0,14,27,-0.8056639957691173
0,27,14,0.8779522728444962
0,15,16,0.9704401623493202
0,16,15,-0.9704742107530303
0,15,28,-0.8917442893286078
0,28,15,0.9638647021429019
0,16,17,0.9707832140726952
0,17,16,-0.969760406381604
0,16,29,-0.982599843017478
0,29,16,0.9827620171898922
0,17,18,0.9702591225181392
0,18,17,-0.9688480349828292
0,17,30,-0.9637289073516472
0,30,17,0.891950398768274
0,18,19,0.9693248936918637
0,19,18,-0.9685265836597856
0,18,31,-0.8777996988570791
0,31,18,0.8058755475751123
0,19,20,0.9687956921612713
0,20,19,-0.9691076048644378
0,19,32,-0.8082208884807741
0,32,19,0.7912103529494305
0,20,21,0.9691673483351992
0,21,20,-0.9700931921850202
0,20,33,-0.7892876843357498
0,33,20,0.8384457142105577
0,21,22,0.9701170726624542
0,22,21,-0.9706499850255265
0,21,34,-0.8411406370117649
0,34,21,0.9227254648299862
0,22,23,0.9708357258262436
0,23,22,-0.9703101843738446
0,22,35,-0.9454964426877064
0,35,22,0.9883911327822338
0,23,24,0.9707074133075787
0,24,23,-0.9693679982160739
0,23,36,-0.9882565367863653
0,36,23,0.9457109026406787
0,24,25,0.969834844393145
0,25,24,-0.9686373538673857
0,24,37,-0.9225993344210923
0,37,24,0.8413403893878557
0,13,25,-0.9687264891891044
0,25,13,0.9689633807341755
0,25,38,-0.8382702907024299
0,38,25,0.7894841119260404
0,26,27,0.968772764999548
0,27,26,-0.9690868871684756
0,26,39,0.6121065566228622
0,39,26,-0.591969432993965
0,27,28,0.9690913169777056
0,28,27,-0.9700205393442232
0,27,40,0.725885570852715
0,40,27,-0.6390043733555046
0,28,29,0.9700048101138566
0,29,28,-0.9705408483791251
0,28,41,0.9064734616966691
0,41,28,-0.8138245619894704
0,29,30,0.9707198088190461
0,30,29,-0.9701947204554129
0,29,42,0.9891175743367323
0,42,29,-0.9890325070666256
0,30,31,0.9706154681568526
0,31,30,-0.9692728934135711
0,30,43,0.8138646012833726
0,43,30,-0.906305879325175
0,31,32,0.9697926007795918
0,32,31,-0.968580397844475
0,31,44,0.639088676199462
0,44,31,-0.7257216583627777
0,32,33,0.9689667264372029
0,33,32,-0.9687254691660983
0,32,45,0.5921260845731039
0,45,32,-0.6120450519072974
0,33,34,0.9688753879082803
0,34,33,-0.9695999953706594
0,33,46,0.6576780050792354
0,46,33,-0.5996355824378031
0,34,35,0.9696132803583456
0,35,34,-0.9704685987372131
0,34,47,0.8127061977612439
0,47,34,-0.7115991901840557
0,35,36,0.9705562650518796
0,36,35,-0.9705910526637275
0,35,48,0.9789527755427636
0,48,35,-0.9218271732522402
0,36,37,0.9708903308502186
0,37,36,-0.9698731599200854
0,36,49,0.9218424838741387
0,49,36,-0.9788223561405497
0,37,38,0.9703297616372402
0,38,37,-0.9689246446747616
0,37,50,0.7116701528168138
0,50,37,-0.8125511336385166
0,26,38,-0.9685658100434407
0,38,26,0.9693449896827443
0,38,51,0.5996735988124011
0,51,38,-0.6575319326278708
0,39,40,0.9688207121034996
0,40,39,-0.9695539126285356
0,39,52,-0.7910345936763296
0,52,39,0.8083356589189249
0,40,41,0.9695204062424503
0,41,40,-0.970377296437122
0,40,53,-0.8056659998504256
0,53,40,0.8779534479346109
0,41,42,0.9704401623493248
0,42,41,-0.9704742107530299
0,41,54,-0.8917456341637293
0,54,41,0.9638504894556954
0,42,43,0.9707832151085202
0,43,42,-0.9697577924673291
0,42,55,-0.9825999621308684
0,55,42,0.9827604318916435
0,43,44,0.9702565202926319
0,44,43,-0.9688480349828332
0,43,56,-0.9637439318705799
0,56,43,0.8919519222023005
