label,algorithm,avg_rtt_ms,rtt_ci95_lower_ms,rtt_ci95_upper_ms,rtt_n,avg_hop_count,hop_ci95_lower,hop_ci95_upper,hop_n,pdr_proxy,pdr_ci95_lower,pdr_ci95_upper,pdr_n,route_change_rate,route_change_ci95_lower,route_change_ci95_upper,route_change_events,route_change_opportunities,avg_fstate_updates_per_step,samples_total,samples_reachable,num_time_steps
baseline_k1,algorithm_free_one_only_over_isls,167.32533026030376,162.94542385513898,171.70523666546853,1200,11.281666666666666,10.990933165570206,11.572400167763126,1200,1.0,0.9968089993972651,1.0,1200,0.1,0.08363970514031582,0.1191443604807006,110,1100,5202.083333333333,1200,1200,12
frog_k3,algorithm_free_one_only_over_isls3,147.07733118228435,142.65705575835145,151.49760660621726,1200,9.906666666666666,9.618855528008568,10.194477805324764,1200,1.0,0.9968089993972651,1.0,1200,0.11,0.09284933883496634,0.12986512514552467,121,1100,5591.5,1200,1200,12
frog_k5,algorithm_free_one_only_over_isls5,139.35882353998832,134.84711858819367,143.87052849178298,1200,9.355,9.063148403809933,9.646851596190068,1200,1.0,0.9968089993972651,1.0,1200,0.11,0.09284933883496634,0.12986512514552467,121,1100,5607.583333333333,1200,1200,12
da_fw_beta_0_0,algorithm_direction_aware_floyd_warshall_beta_0_0,167.32533026030376,162.94542385513898,171.70523666546853,1200,11.281666666666666,10.990933165570206,11.572400167763126,1200,1.0,0.9968089993972651,1.0,1200,0.1,0.08363970514031582,0.1191443604807006,110,1100,5202.083333333333,1200,1200,12
da_fw_beta_0_1,algorithm_direction_aware_floyd_warshall_beta_0_1,169.48652634045249,164.97004172480277,174.0030109561022,1200,11.365,11.070455896313069,11.659544103686931,1200,1.0,0.9968089993972651,1.0,1200,0.10272727272727272,0.08614635635296843,0.1220732724569956,113,1100,5350.416666666667,1200,1200,12
da_fw_beta_0_2,algorithm_direction_aware_floyd_warshall_beta_0_2,169.73169473548387,165.196738270102,174.26665120086574,1200,11.3975,11.10018043920581,11.694819560794192,1200,1.0,0.9968089993972651,1.0,1200,0.10363636363636364,0.08698277392414938,0.12304870928213052,114,1100,5377.166666666667,1200,1200,12
da_fw_beta_0_3,algorithm_direction_aware_floyd_warshall_beta_0_3,175.3529987841878,170.4351506019435,180.27084696643212,1200,11.6325,11.320315199791782,11.944684800208218,1200,1.0,0.9968089993972651,1.0,1200,0.10272727272727272,0.08614635635296843,0.1220732724569956,113,1100,5426.083333333333,1200,1200,12
