protocol,baseline_k,candidate_k,baseline_goodput_mbps,candidate_goodput_mbps,goodput_delta_pct,baseline_slowdown,candidate_slowdown,slowdown_delta_pct
tcp,k=1,k=3,166.2735998,172.2281396,3.5811697149531447,18.6184670143,18.2440364112,-2.0110710662291127
tcp,k=1,k=5,166.2735998,175.6977475333,5.667855717706067,18.6184670143,17.2898884104,-7.135810928362566
udp,k=1,k=3,98.0741589333,98.6558933333,0.5931576740776724,7.402828475,6.519947509,-11.926265331981774
udp,k=1,k=5,98.0741589333,98.8573610667,0.79858154473968,7.402828475,4.96376185,-32.94776629280202
